code,name,limit_pct,prev_close,auc_price,gap_pct,gap_norm,auc_amount,prev_amount,auc_ratio,t1_chg,t2_chg,t3_chg,slope,monotonic,dive,pos_pct_60d,ma_bull,breakout,prev_limit_up,prev_broken_board,board_height,sector,sector_members,sector_prev_limitups,blacklisted,one_word,group,liangbi,score,score_raw,parts,penalty,risk_tags,rejected
300308,中际旭创,20.0,927.72,936.01,0.89,0.045,156900000.0,22337440000.0,0.00702,0.06,0.78,0.89,0.83,True,-0.11,0.2796889094765585,True,False,False,False,0,通信设备,0,1,False,False,B,1.7,23.4,23.394999227962394,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.719, 'position': 0.501, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 0.89% 超出区间
603986,兆易创新,10.0,402.1,406.3,1.04,0.104,120220000.0,20578130000.0,0.00584,0.25,0.98,1.04,0.8,True,-0.06,0.14227745959607674,False,False,False,False,0,半导体,1,4,False,False,B,1.4,26.8,26.83126193181379,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.783, 'position': 0.644, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 1.04% 超出区间
688008,澜起科技,20.0,221.83,225.5,1.65,0.083,113730000.0,16970060000.0,0.0067,1.84,1.84,1.65,-0.19,False,0.19,0.28898631793786395,False,False,False,False,0,半导体,1,4,False,False,B,1.6,15.3,15.346346410663436,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.484, 'position': 0.278, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 1.65% 超出区间
002384,东山精密,10.0,198.12,197.01,-0.56,-0.056,63500000.0,16105980000.0,0.00394,0.44,0.39,-0.56,-1.0,False,0.95,0.33943925233644856,True,False,False,False,0,元件,1,3,False,False,B,0.9,13.4,13.437694704049846,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.333, 'position': 0.351, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 -0.56% 超出区间
300502,新易盛,20.0,455.0,460.13,1.13,0.056,68780000.0,16043120000.0,0.00429,0.51,0.51,1.13,0.61,True,-0.61,0.41034921255991397,True,False,False,False,0,通信设备,0,1,False,False,A,1.0,20.0,20.016666666666666,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.701, 'position': 0.3, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 1.13% 超出区间
600487,亨通光电,10.0,73.0,73.07,0.1,0.01,84240000.0,15835410000.0,0.00532,0.0,-0.03,0.1,0.1,False,-0.12,0.4714050794810889,True,False,False,False,0,通信设备,0,1,False,False,A,1.3,16.3,16.333333333333332,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.517, 'position': 0.3, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 0.10% 超出区间
300750,宁德时代,20.0,304.63,304.5,-0.04,-0.002,110470000.0,14476580000.0,0.00763,0.0,-0.54,-0.04,-0.04,False,-0.49,0.06965772432932447,False,False,False,False,0,电池,0,0,False,False,B,1.8,23.8,23.821168670983667,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.497, 'position': 0.826, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 -0.04% 超出区间
300476,胜宏科技,20.0,242.1,244.77,1.1,0.055,65790000.0,11499280000.0,0.00572,-1.07,-0.82,1.1,2.18,True,-1.92,0.42143344709897596,False,False,False,False,0,元件,1,3,False,False,A,1.4,18.1,18.133333333333333,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.832, 'position': 0.0, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 1.10% 超出区间
688041,海光信息,20.0,256.0,258.5,0.98,0.049,34420000.0,11226520000.0,0.00307,0.3,0.0,0.98,0.68,False,-0.98,0.23116548615582747,False,False,False,False,0,半导体,1,4,False,False,B,0.7,19.0,18.964627602489802,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.557, 'position': 0.422, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 0.98% 超出区间
600176,中国巨石,10.0,45.47,45.11,-0.79,-0.079,34080000.0,10892570000.0,0.00313,-0.68,-0.92,-0.79,-0.11,False,-0.13,0.3097176981541801,True,False,False,False,0,建筑材料,0,0,False,False,B,0.8,17.5,17.518919652551578,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.482, 'position': 0.426, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 -0.79% 超出区间
600522,中天科技,10.0,36.88,36.6,-0.76,-0.076,37060000.0,10707230000.0,0.00346,-1.0,-1.0,-0.76,0.24,True,-0.24,0.3311688311688313,True,False,False,False,0,通信设备,0,1,False,False,B,0.8,20.9,20.88116883116883,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.69, 'position': 0.372, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 -0.76% 超出区间
688256,寒武纪,20.0,1121.0,1121.0,0.0,0.0,18820000.0,9710440000.0,0.00194,-0.54,-0.54,0.0,0.54,True,-0.54,0.26848187151035413,True,False,False,False,0,半导体,1,4,False,False,B,0.5,23.3,23.331929818361726,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.695, 'position': 0.529, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 0.00% 超出区间
002156,通富微电,10.0,63.52,63.56,0.06,0.006,41220000.0,9152310000.0,0.0045,0.0,0.0,0.06,0.06,True,-0.06,0.44501278772378533,False,False,False,False,0,半导体,1,4,False,False,A,1.1,14.7,14.700000000000003,"{'gap': 0.0, 'volume': 0.0, 'trend': 0.66, 'position': 0.0, 'sector': 0.0, 'continuity': 0.3}",0.0,[],竞价涨幅 0.06% 超出区间
